reviewText,score,sentiment
Although I think the headphones are small and I won’t be using them the keyboard and mouse are good for the money this bundle is worth,0.9688406586647034,LABEL_2
i had bought one before  and i like it,0.9500728249549866,LABEL_2
This is a great set. Looks very cool all lit up and works great too. The mouse is easy to use and the mouse pad is a decent size too. The headphones work great. The keyboard is nice and i love how it lights up so can use at night. No issues with any of the set. Great price for so many things.,0.9996265172958374,LABEL_3
Works great the headset and mouse have a braided cable the mouse feels very nice and I can't believe how good the headset fits and sounds good for the price the headset microphone works fine the keyboard works very well you get three different colors of led lights in the keyboard and mouse  headset has red led lights also perfect for playing games in the dark.  Also a nice mouse pad.,0.9872791767120361,LABEL_3
"Bought this for my husband who has RA and the mouse is very comfortable for him, the mouse pad is large, the earphones work great and the keyboard is perfect for him.",0.9993360638618469,LABEL_3
My 15 year old grandson loved it!  Is telling all his friends about it.  Only thing he has trouble with is he needs to get some kind of an adapter for the headset.  He has a laptop not a tower and he can't use the headset yet.  But it does work as I have the tower.  Thank you for the great low price.  Debbie Brown,0.9520872235298157,LABEL_2
"Well worth the money for sure! My son loved it! It comes with the light up, crack/lightening effect keyboard and mouse (mouse can alternate lights between 3 different colors), came with a mousepad and headset with mic. You can’t beat the quality of this product for the price!!! Definitely recommend!",0.9993757605552673,LABEL_3
Bought for my son for his gaming setup and he loves it. The colors are amazing,0.998336136341095,LABEL_3
"My son is always gaming.. Have not had any issues what so ever! We get compliments on it from friends that see it. (Too many compliments, that I already know what the topic is about!🤣)Yes! It definitely is BAD A_ _!",0.8260163068771362,LABEL_3
"Thanks, we recieved it today and we're very pleased! Especially my hubby. He is very static with his new awesome keyboard set! I would highly recommend it. Great job!!! Awesome product👍👌",0.9997619986534119,LABEL_3
Great deal and price all in one for gaming,0.9997739195823669,LABEL_3
I really love it. My 10 year old son begged for a gaming keyboard and mouse. So when I found this deal I jumped on it immediately. And he loves it,0.9998125433921814,LABEL_3
"this key board set is a great value and works great  with I Mac computer , easy. to set up took like 15 seconds",0.9998015761375427,LABEL_3
I couldn’t have chosen a better gift for my son. He’s a gamer and music lover. So this set goes along with his personality and lifestyle. Great gift!,0.999496340751648,LABEL_3
the headseat is comfortable and ad blocks the sound while givng a good level of volume. the mouse is comfortable. the keyboard is bright and easily used all in all well worth it,0.9920905828475952,LABEL_2
"Got for a gift, thought he could hook it up to his xbox did not work but worked perfectly with the computer.",0.8321387767791748,LABEL_2
The pictures do it no justice!!! My son said the headphones work amazing!,0.9913989305496216,LABEL_3
The keyboard and mouse feel so comfortable to play games in but when i got it i noticed the mic was for pc not ps4 😭😭😭,0.8886281251907349,LABEL_1
Great for gaming and easy to install. Looks good too! My son loves it and I thoughtcrimes the price was great too! Excellent value for the money.,0.9987014532089233,LABEL_3
It's better than I anticipated. It's Everything I could have wanted and more,0.7412586808204651,LABEL_3
Exactly the quality I needed for gaming,0.9998255372047424,LABEL_3
My son said that all the pieces to this set work really well.,0.9782865047454834,LABEL_3
"Been using it for 2 months now. Works decent. The headset volume isnt great, but it works.",0.892274796962738,LABEL_2
"I got this for my son, he loves it for gaming. I like to feel of how it is ergonomically.",0.9595840573310852,LABEL_2
"Asi dice mi hijo, el regalo perfecto para un gamer en sus inicios",0.9876229763031006,LABEL_3
"Gift for an 11 year old.  He likes that he can change colors, but wishes it was all wireless.",0.5581158995628357,LABEL_1
Love this set. Love how you can change the color and the multimedia keyboard.,0.9998241066932678,LABEL_3
I have absolutely nothing negative to say about this product,0.9042012095451355,LABEL_0
Wish the keyboard cord had the threaded cord like the mouse.,0.861466646194458,LABEL_1
Bought this as a Christmas gift for my husband and he loves it,0.9984425902366638,LABEL_3
It was I expected!,0.5837739706039429,LABEL_2
Gaming,0.3969714343547821,LABEL_2
it made my grandson happy,0.9960036873817444,LABEL_3
It works great,0.9969760179519653,LABEL_3
Our son loves it and the colors are really cool!,0.999679684638977,LABEL_3
its was everything my grandson wanted,0.9866282343864441,LABEL_3
"Great keyboard, love the way the keys feel and function",0.9996514320373535,LABEL_3
Muy buena calidad,0.5715110898017883,LABEL_2
OK,0.9960489869117737,LABEL_1
Perfect,0.9997500777244568,LABEL_3
My son loves it!,0.9992885589599609,LABEL_3
Good,0.9994639754295349,LABEL_2
Great for the price!,0.9974307417869568,LABEL_3
"Excellent collors, mouse and keyboard are awesome. Headset is good for the money.",0.9995231628417969,LABEL_3
Good,0.9994639754295349,LABEL_2
came on time and it looks awesome works great whats not to like,0.9996956586837769,LABEL_3
Exactly what we expected! Our son loves everything!,0.9997885823249817,LABEL_3
That is a best keyboard and mouse in world,0.9991753697395325,LABEL_3
Good value,0.9993081092834473,LABEL_2
"I am very pleased with the combol, thanks bluefinger :-)",0.9989128112792969,LABEL_3
Son loves it !!!,0.9993382096290588,LABEL_3
so so cool !!!!!,0.9987597465515137,LABEL_3
Very cool,0.9946091175079346,LABEL_3
